"t_index","date"
1188,"2023-07-07"
1189,"2023-07-14"
1190,"2023-07-21"
1191,"2023-07-28"
1192,"2023-08-04"
1193,"2023-08-11"
1194,"2023-08-18"
1195,"2023-08-25"
1196,"2023-09-01"
1197,"2023-09-08"
1198,"2023-09-15"
1199,"2023-09-22"
1200,"2023-09-29"
1201,"2023-10-13"
1202,"2023-10-20"
1203,"2023-10-27"
1204,"2023-11-03"
1205,"2023-11-10"
1206,"2023-11-17"
1207,"2023-11-24"
1208,"2023-12-01"
1209,"2023-12-08"
1210,"2023-12-15"
1211,"2023-12-22"
1212,"2023-12-29"
1213,"2024-01-05"
1214,"2024-01-12"
1215,"2024-01-19"
1216,"2024-01-26"
1217,"2024-02-02"
1218,"2024-02-09"
1219,"2024-02-23"
1220,"2024-03-01"
1221,"2024-03-08"
1222,"2024-03-15"
1223,"2024-03-22"
1224,"2024-03-29"
1225,"2024-04-05"
1226,"2024-04-12"
1227,"2024-04-19"
1228,"2024-04-26"
1229,"2024-05-03"
1230,"2024-05-10"
1231,"2024-05-17"
1232,"2024-05-24"
1233,"2024-05-31"
1234,"2024-06-07"
1235,"2024-06-14"
1236,"2024-06-21"
1237,"2024-06-28"
1238,"2024-07-05"
1239,"2024-07-12"
1240,"2024-07-19"
1241,"2024-07-26"
1242,"2024-08-02"
1243,"2024-08-09"
1244,"2024-08-16"
1245,"2024-08-23"
1246,"2024-08-30"
