date,delta_ret,delta_vol,loglik,success,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30
2020-09-11,0.21597279301147682,0.7840272069885231,6651.680826743509,True,1.99999999998304,1.9999999999890694,2.0,1.9999999999817253,1.9999999999852314,1.9999999999802947,1.9999999999928677,2.0,0.617482092593545,2.0,2.0,2.0,1.9999999999818499,1.9999999999864706,1.9999999999912839,2.0,2.0,1.9999999999892066,2.0,2.0,1.0815432467888486,1.9999999999956328,1.9999999999835403,1.9999999999833464,2.0,1.9999999999880644,1.99999999999914,2.0,2.0,2.0,1.9999999999804343
2020-10-09,0.007461142871922281,0.9925388571280778,6639.097765966842,True,1.9999999999999858,1.9999999999999836,1.999999999993785,1.9999999999999878,1.9999999999999925,0.9486604504267813,1.6877616793491907,1.9999999999914053,0.2733465536908106,1.9999999999917157,1.999999999994113,1.9999999999905416,1.999999999999985,1.9999999999915912,1.9999999999926226,1.9999999999909146,1.9999999999919138,1.9999999999999922,1.99999999999215,1.9999999999917781,0.6069640565420467,1.9999999999999984,1.9999999999999944,1.9999999999999905,1.9999999999920286,1.999999999999987,1.9999999999960707,1.5742827723532786,1.9999999999917268,1.9999999999914695,1.0132327852509684
2020-11-06,0.1183927886821785,0.8816072113178215,6582.060543308872,True,2.0,2.0,1.9999999999960032,2.0,2.0,1.735516792730179,2.0,1.9999999999948606,1.5571312345488133,1.9999999999948117,1.9999999999951883,1.9999999999935851,2.0,1.999999999999846,1.9999999999956433,1.999999999994109,2.0,2.0,1.9999999999992888,1.9999999999948612,0.6263865907291111,2.0,2.0,2.0,1.9999999999951668,2.0,2.0,1.9999999999964213,1.9999999999953064,1.9999999999948033,1.173013972256895
2020-12-04,0.014978428875866272,0.9850215711241338,6560.833309443177,True,1.9999999999965916,2.0,2.0,1.9999999999974096,2.0,1.269585413499728,0.8140815980389035,2.0,0.8598533294088606,2.0,2.0,2.0,1.9999999999976656,1.999999999997011,2.0,2.0,2.0,1.9999999999980378,2.0,2.0,0.36208704510470213,2.0,2.0,2.0,2.0,1.9999999999968514,1.999999999998773,1.7925114397892516,2.0,2.0,0.9545885444784383
2021-01-01,0.20659992238714686,0.7934000776128532,6505.295955043777,True,1.999999999892841,2.0,2.0,1.9999999998725468,2.0,1.9999999998552247,1.3126728397925433,2.0,1.2069474451058415,2.0,2.0,2.0,1.9999999998971418,1.982359934052517,2.0,2.0,2.0,2.0,1.9999999999737694,2.0,0.8309733492622453,2.0,2.0,2.0,2.0,1.999999999983418,2.0,2.0,2.0,2.0,1.392280082250538
2021-01-29,0.39811535892168604,0.601884641078314,6444.0158178690635,True,2.0,2.0,2.0,2.0,2.0,2.0,1.9999999996425717,2.0,1.8988438784529713,2.0,2.0,2.0,2.0,1.8275922015455155,2.0,2.0,2.0,1.7973962503769347,2.0,2.0,1.1423703344576546,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5927141787634962
2021-02-26,0.579913718463857,0.42008628153614297,6442.8445544443975,True,1.9999999999999207,1.999999999999913,1.941978590174069,2.0,1.9999999999998952,1.9999999999999145,2.0,2.0,1.9999999999999016,2.0,1.9999999999998836,1.9999999999998948,2.0,1.9999999999998923,2.0,1.999999999999961,1.9999999999998825,1.999999999999937,2.0,2.0,1.9307456263347864,1.999999999999925,2.0,1.9999999999999667,1.9999999999998737,2.0,1.9999999999999023,1.999999999999904,1.9999999999998939,1.9999999999998832,1.9999999999999036
2021-03-26,0.6697374178725005,0.3302625821274995,6461.43745925686,True,1.9999999999994338,1.9999999999983564,1.9354202101437452,2.0,1.9999999999994944,1.9999999999988416,2.0,1.9999999999999218,1.9999999999983438,2.0,1.9999999999983005,1.9999999999987237,2.0,1.999999999998262,2.0,1.9999999999985159,1.999999999998373,2.0,1.999999999999453,2.0,0.6690049131830795,1.999999999998843,1.9999999999993563,2.0,1.9999999999979017,1.999999999999924,1.999999999998405,1.9999999999984244,1.9999999999985696,1.9999999999985905,2.0
2021-04-23,0.7101749920407612,0.2898250079592389,6443.731299712767,True,1.9999999999999853,1.9999999999999416,1.7078292361702743,1.9999999999999563,1.9999999999999512,1.9999999999999674,1.9999999999999236,1.9999999999999856,1.999999999999955,1.999999999999875,1.9999999999999722,1.999999999999958,1.9999999999999316,1.9999999999999412,1.9999999999999145,1.99999999999995,1.9999999999999547,1.999999999999929,1.9999999999999765,1.9999999999998939,0.17773754181883075,1.9999999999999793,1.9999999999999423,1.999999999999892,1.9999999999999258,1.9999999999999833,1.999999999999955,1.9999999999999456,1.9999999999999916,1.9999999999999523,1.9999999999999187
2021-05-21,0.0,1.0,6267.014456068075,True,2.0,2.0,2.0,2.0,2.0,2.0,0.3788138773972554,2.0,2.0,1.0378376503001856,2.0,2.0,2.0,1.4014105647143107,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7063046864387712,2.0,2.0,2.0
2021-06-18,0.7905102969616055,0.20948970303839445,6437.874445931826,True,2.0,2.0,1.6146147135531639,2.0,2.0,2.0,1.999999999997879,2.0,2.0,1.999999999999169,2.0,2.0,2.0,2.0,1.9999999999991884,2.0,2.0,2.0,2.0,2.0,0.5981067930092264,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
